engine_id,predicted_rul,actual_rul,alert_level,recommended_action,time_to_maintenance,confidence,timestamp,priority_score
92,27.386104583740234,20.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 27 cycles.,5.5 days,0.6,2025-10-29T17:07:27.889601,45.0
91,33.917667388916016,38.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 34 cycles.,6.8 days,0.6,2025-10-29T17:07:27.889601,45.0
90,23.3631591796875,28.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 23 cycles.,4.7 days,0.6,2025-10-29T17:07:27.889601,45.0
46,39.11361312866211,47.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 39 cycles.,1.1 weeks,0.6,2025-10-29T17:07:27.889079,45.0
18,33.68547821044922,28.0,Critical,Schedule maintenance within next 24-48 hours. Estimated RUL: 34 cycles.,6.7 days,0.6,2025-10-29T17:07:27.888545,45.0
74,90.72209167480469,126.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 91 cycles.,2.6 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
80,89.22113800048828,90.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 89 cycles.,2.5 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
63,82.85649108886719,72.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 83 cycles.,2.4 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
72,56.703208923339844,50.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 57 cycles.,1.6 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
60,95.62159729003906,100.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 96 cycles.,2.7 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
70,77.6424560546875,94.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 78 cycles.,2.2 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
94,66.13491821289062,55.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 66 cycles.,1.9 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
97,84.56829833984375,82.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 85 cycles.,2.4 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
98,53.59664535522461,59.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 54 cycles.,1.5 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
45,67.82926177978516,114.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 68 cycles.,1.9 weeks,0.7757000000000001,2025-10-29T17:07:27.889079,38.785000000000004
84,72.65766906738281,58.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 73 cycles.,2.1 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
51,85.90625762939453,114.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 86 cycles.,2.5 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,38.785000000000004
13,71.88790893554688,95.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 72 cycles.,2.1 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,38.785000000000004
17,53.05839538574219,50.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 53 cycles.,1.5 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,38.785000000000004
43,59.68714141845703,59.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 60 cycles.,1.7 weeks,0.7757000000000001,2025-10-29T17:07:27.889079,38.785000000000004
4,72.10888671875,82.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 72 cycles.,2.1 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,38.785000000000004
11,96.13732147216797,97.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 96 cycles.,2.7 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,38.785000000000004
29,98.97577667236328,90.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 99 cycles.,2.8 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,38.785000000000004
21,71.78948211669922,57.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 72 cycles.,2.1 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,38.785000000000004
10,82.32982635498047,96.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 82 cycles.,2.4 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,38.785000000000004
32,52.73556137084961,48.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 53 cycles.,1.5 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,38.785000000000004
8,87.49118041992188,95.0,Warning,Plan maintenance within next 1-2 weeks. Estimated RUL: 87 cycles.,2.5 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,38.785000000000004
12,112.22846221923828,124.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 112 cycles.,3.2 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
83,185.750732421875,137.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 186 cycles.,1.2 months,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
44,109.38612365722656,109.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 109 cycles.,3.1 weeks,0.7757000000000001,2025-10-29T17:07:27.889079,15.514000000000001
86,108.53692626953125,89.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 109 cycles.,3.1 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
14,125.49671936035156,107.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 125 cycles.,3.6 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
79,116.39395141601562,63.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 116 cycles.,3.3 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
78,178.7576904296875,107.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 179 cycles.,1.2 months,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
85,158.57911682128906,118.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 159 cycles.,1.1 months,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
89,114.53701782226562,136.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 115 cycles.,3.3 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
87,135.17588806152344,116.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 135 cycles.,3.9 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
88,130.54690551757812,115.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 131 cycles.,3.7 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
16,100.5267105102539,84.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 101 cycles.,2.9 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
9,133.72874450683594,111.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 134 cycles.,3.8 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
7,123.74546813964844,91.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 124 cycles.,3.5 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
6,108.3858642578125,93.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 108 cycles.,3.1 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
95,127.3099594116211,128.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 127 cycles.,3.6 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
96,120.86892700195312,137.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 121 cycles.,3.5 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
5,102.25717163085938,91.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 102 cycles.,2.9 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
99,138.2006378173828,117.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 138 cycles.,3.9 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
15,112.37507629394531,83.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 112 cycles.,3.2 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
73,112.68679809570312,131.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 113 cycles.,3.2 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
75,132.43917846679688,113.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 132 cycles.,3.8 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
47,127.90386199951172,135.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 128 cycles.,3.7 weeks,0.7757000000000001,2025-10-29T17:07:27.889079,15.514000000000001
48,103.444091796875,92.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 103 cycles.,3.0 weeks,0.7757000000000001,2025-10-29T17:07:27.889079,15.514000000000001
50,104.3590087890625,79.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 104 cycles.,3.0 weeks,0.7757000000000001,2025-10-29T17:07:27.889079,15.514000000000001
2,139.83595275878906,98.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 140 cycles.,4.0 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
39,153.09071350097656,142.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 153 cycles.,1.0 months,0.7757000000000001,2025-10-29T17:07:27.889079,15.514000000000001
33,118.08506774902344,106.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 118 cycles.,3.4 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,15.514000000000001
54,142.7379150390625,97.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 143 cycles.,4.1 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
55,144.7254180908203,137.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 145 cycles.,4.1 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
57,110.87504577636719,103.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 111 cycles.,3.2 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
30,110.94932556152344,115.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 111 cycles.,3.2 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,15.514000000000001
59,123.37916564941406,114.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 123 cycles.,3.5 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
28,100.81585693359375,97.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 101 cycles.,2.9 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,15.514000000000001
27,116.57698059082031,66.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 117 cycles.,3.3 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,15.514000000000001
26,135.70111083984375,119.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 136 cycles.,3.9 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,15.514000000000001
25,123.96883392333984,145.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 124 cycles.,3.5 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,15.514000000000001
65,152.2660369873047,128.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 152 cycles.,1.0 months,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
23,144.04373168945312,113.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 144 cycles.,4.1 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,15.514000000000001
67,170.7005157470703,77.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 171 cycles.,1.1 months,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
22,161.03753662109375,111.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 161 cycles.,1.1 months,0.7757000000000001,2025-10-29T17:07:27.888545,15.514000000000001
69,154.94142150878906,121.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 155 cycles.,1.0 months,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
71,127.49662780761719,118.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 127 cycles.,3.6 weeks,0.7757000000000001,2025-10-29T17:07:27.889601,15.514000000000001
19,106.01199340820312,87.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 106 cycles.,3.0 weeks,0.7757000000000001,2025-10-29T17:07:27.888545,15.514000000000001
1,119.89015197753906,112.0,Normal,Continue normal operations. Monitor regularly. Estimated RUL: 120 cycles.,3.4 weeks,0.7757000000000001,2025-10-29T17:07:27.887523,15.514000000000001
